id,ident,type,name,lat,lon,elevation_ft,continent,country_name,iso_country,region_name,iso_region,local_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
20223,KJVL,small_airport,Southern Wisconsin Regional Airport,42.62030029,-89.04160309,808,NA,United States,US,Wisconsin,US-WI,WI,Janesville,0,KJVL,JVL,JVL,http://www.jvlairport.com/,https://en.wikipedia.org/wiki/Southern_Wisconsin_Regional_Airport,Rock County Airport,50,2014-12-06T13:08:34+00:00
3362,KACV,medium_airport,California Redwood Coast-Humboldt County Airport,40.978101,-124.109,221,NA,United States,US,California,US-CA,CA,Arcata/Eureka,1,KACV,ACV,ACV,,https://en.wikipedia.org/wiki/Arcata-Eureka_Airport,Arcata Airport,750,2021-11-21T11:19:58+00:00
3461,KCNM,medium_airport,Cavern City Air Terminal,32.33750153,-104.2630005,3295,NA,United States,US,New Mexico,US-NM,NM,Carlsbad,1,KCNM,CNM,CNM,,https://en.wikipedia.org/wiki/Cavern_City_Air_Terminal,,750,2008-06-13T14:30:04+00:00
3638,KLCK,medium_airport,Rickenbacker International Airport,39.813801,-82.927803,744,NA,United States,US,Ohio,US-OH,OH,Columbus,1,KLCK,LCK,LCK,http://rickenbackerinlandport.com/en/rickenbacker-international-airport/,https://en.wikipedia.org/wiki/Rickenbacker_International_Airport,Lockbourne Army Air Field,750,2021-08-08T06:03:39+00:00
3642,KLFT,medium_airport,Lafayette Regional Airport,30.205299,-91.987602,42,NA,United States,US,Louisiana,US-LA,LA,Lafayette,1,KLFT,LFT,LFT,http://www.lftairport.com/Home,https://en.wikipedia.org/wiki/Lafayette_Regional_Airport,,750,2021-11-20T15:05:56+00:00
3909,KSUX,medium_airport,Sioux Gateway Airport / Brigadier General Bud Day Field,42.397605,-96.382237,1098,NA,United States,US,Iowa,US-IA,IA,Sioux City,1,KSUX,SUX,SUX,https://www.sioux-city.org/government/departments-a-f/airport,https://en.wikipedia.org/wiki/Sioux_Gateway_Airport,"Col. Bud Day, Sioux City AB, Sioux City AAB",750,2021-11-20T15:52:32+00:00
3367,KAGC,medium_airport,Allegheny County Airport,40.354401,-79.930199,1252,NA,United States,US,Pennsylvania,US-PA,PA,Pittsburgh,0,KAGC,AGC,AGC,,https://en.wikipedia.org/wiki/Allegheny_County_Airport,,599,2022-03-04T10:34:50+00:00
19406,KBRD,medium_airport,Brainerd Lakes Regional Airport,46.402861,-94.129727,1232,NA,United States,US,Minnesota,US-MN,MN,Brainerd,1,KBRD,BRD,BRD,http://brainerdairport.com/,https://en.wikipedia.org/wiki/Brainerd_Lakes_Regional_Airport,Crow Wing County Airport,500,2022-02-11T17:20:40+00:00
3749,KOLM,medium_airport,Olympia Regional Airport,46.9693985,-122.9029999,209,NA,United States,US,Washington,US-WA,WA,Olympia,0,KOLM,OLM,OLM,,https://en.wikipedia.org/wiki/Olympia_Airport,,475,2010-01-23T11:28:03+00:00
3475,KCXO,medium_airport,Conroe-North Houston Regional Airport,30.351801,-95.414497,245,NA,United States,US,Texas,US-TX,TX,Houston,0,KCXO,CXO,CXO,https://web.archive.org/web/20160301220928/http://www.lonestarairport.org:80/,https://en.wikipedia.org/wiki/Lone_Star_Executive_Airport,"Montgomery County Airport, Lone Star Executive Airport",400,2017-10-01T08:06:47+00:00
